time,ethusdt,btcusdt
1681111485.290564,1858.45,28276.67
1681111486.313709,1858.44,28276.66
1681111487.337828,1858.45,28276.67
1681111488.3614805,1858.45,28276.67
1681111489.3831525,1858.44,28276.67
1681111490.9206126,1858.45,28276.67
1681111491.8926601,1858.44,28276.67
1681111493.3792245,1858.45,28276.67
1681111494.4031386,1858.45,28276.66
1681111495.4272177,1858.45,28276.66
1681111496.452647,1858.44,28276.67
1681111497.472207,1858.45,28276.67
1681111498.4954212,1858.44,28276.66
1681111499.4939227,1858.44,28276.66
1681111500.5469587,1858.45,28276.67
1681111501.5177848,1858.45,28276.67
1681111502.5214603,1858.44,28276.66
1681111503.5160801,1858.45,28276.67
1681111505.1547186,1858.45,28276.66
1681111506.1799774,1858.44,28276.66
1681111507.2036264,1858.44,28276.67
1681111508.1239479,1858.45,28276.66
1681111509.045605,1858.45,28276.66
1681111510.0700054,1858.44,28276.66
1681111510.9936955,1858.44,28276.66
1681111512.0202453,1858.44,28276.66
1681111513.0425642,1858.44,28276.67
1681111514.0640996,1858.44,28276.67
1681111515.0941393,1858.44,28276.67
1681112830.7678318,1857.38,28275.05
1681112831.8483257,1857.38,28275.04
1681112832.8073342,1857.36,28275.04
1681112833.7352958,1857.36,28275.04
1681112834.7135067,1857.36,28275.04
1681112835.7189426,1857.36,28275.04
1681112836.7632277,1857.36,28281.27
1681112837.7415605,1857.36,28281.27
1681112838.765841,1857.36,28281.28
1681112840.2439156,1857.36,28281.28
1681112841.2695315,1857.36,28281.27
1681112842.2922218,1857.36,28281.28
1681112843.3201404,1857.36,28281.28
1681112844.3416443,1857.35,28281.28
1681116515.187139,1860.06,28321.62
1681116516.211106,1860.07,28321.62
1681116517.236073,1860.07,28321.62
1681116518.7712417,1860.06,28321.62
1681116519.7945516,1860.07,28321.63
1681116520.8188767,1860.07,28321.62
1681116521.8426838,1860.07,28321.62
1681116522.8671033,1860.07,28321.62
1681116523.8902953,1860.06,28321.62
1681116524.915235,1860.06,28321.62
1681116525.9400947,1860.06,28321.62
1681116527.4770103,1860.06,28321.63
1681116529.01233,1860.06,28321.62
1681116530.7541397,1860.06,28321.62
1681116537.6145096,1860.06,28321.62
1681116538.636603,1860.06,28321.63
1681116539.6608937,1860.06,28321.62
1681116540.6852417,1860.06,28321.62
1681116541.7095513,1860.06,28321.63
1681116542.7302787,1860.06,28321.62
1681116543.7571652,1860.07,28321.62
1681116544.7806299,1860.07,28321.62
1681116545.8045342,1860.06,28321.63
1681116546.8283243,1860.07,28321.62
1681116547.8522038,1860.06,28321.62
1681116548.8765502,1860.06,28321.63
1681116549.9006805,1860.06,28321.62
1681116550.924736,1860.06,28321.63
1681116551.948693,1860.06,28321.62
1681116552.9730308,1860.06,28321.62
1681116553.9967253,1860.06,28321.62
1681116555.0227885,1860.06,28321.63
1681116585.2289836,1860.07,28321.62
1681116586.252464,1860.06,28321.62
1681116587.2766337,1860.07,28321.62
1681116589.324997,1860.06,28321.62
1681116590.8607194,1860.07,28321.62
1681116592.3967166,1860.06,28321.62
1681116593.4203067,1860.06,28321.62
1681116594.956206,1860.2,28321.62
1681116595.982361,1860.21,28321.63
1681116597.0020347,1860.2,28321.62
1681116598.0265734,1860.2,28321.62
1681116599.0503814,1860.2,28321.62
1681116600.5901735,1860.27,28321.62
1681116601.6138,1860.29,28321.62
1681116602.6360068,1860.29,28321.62
1681116603.661696,1860.29,28321.62
1681116604.6856725,1860.32,28321.62
1681116605.7095344,1860.32,28321.63
1681116607.2450335,1860.32,28321.62
1681116608.1677086,1860.33,28321.63
1681116609.1912072,1860.34,28321.63
1681116610.2146509,1860.33,28321.62
1681116611.235058,1860.34,28321.62
1681116612.2641835,1860.34,28321.62
1681116613.2895322,1860.33,28321.62
1681116615.0266628,1860.33,28321.62
1681116616.1567187,1860.34,28321.62
1681116617.1782124,1860.33,28321.62
1681116619.222419,1860.34,28321.62
1681116620.2460837,1860.34,28321.63
1681116621.2703776,1860.34,28321.62
1681116622.2990088,1860.34,28321.62
1681116623.3186867,1860.34,28321.62
1681116624.343033,1860.34,28321.63
1681116625.3710847,1860.34,28321.62
1681116626.3953915,1860.34,28321.62
1681116627.414693,1860.34,28321.62
1681116628.4383225,1860.35,28321.62
1681116629.4634116,1860.34,28321.62
1681116630.4925883,1860.34,28321.62
1681116631.612954,1860.34,28321.63
1681116632.6407585,1860.34,28321.62
1681116633.6660082,1860.34,28321.62
1681116634.689328,1860.34,28321.63
1681116635.710162,1860.35,28321.63
1681116636.7329056,1860.34,28321.62
1681116637.7601478,1860.34,28321.62
1681116638.7844496,1860.35,28321.62
1681116639.8078465,1860.35,28321.63
1681116652.7117565,1860.35,28321.62
1681116654.2472346,1860.35,28321.62
1681116655.7824123,1860.36,28321.62
1681116657.318538,1860.36,28321.62
1681116658.3429239,1860.35,28321.62
1681116659.3662024,1860.35,28321.62
1681116660.3905935,1860.35,28321.62
1681116661.413926,1860.36,28321.62
1681116662.4388795,1860.35,28321.62
1681116663.564742,1860.35,28321.63
1681116664.53166,1860.35,28321.62
1681116665.5110927,1860.35,28321.62
1681116666.5343888,1860.35,28321.63
1681116667.5584002,1860.35,28321.62
1681116668.582591,1860.35,28321.63
1681116669.6072702,1860.35,28321.62
1681116670.6312504,1860.35,28321.63
1681116671.6546345,1860.32,28318.48
1681116672.6795511,1860.11,28318.48
1681116673.7023728,1860.11,28318.48
1681116674.726043,1860.11,28318.47
1681116675.7518382,1860.11,28318.47
1681116676.7737641,1860.11,28318.47
1681116677.797916,1860.12,28318.47
1681116678.8198183,1860.11,28318.47
1681116679.8457673,1860.11,28318.47
1681116680.8700728,1860.11,28318.47
1681116681.894172,1860.11,28318.48
1681116682.9182968,1860.11,28318.47
1681116683.942671,1860.11,28318.47
1681116684.9660149,1860.11,28318.48
1681116685.9899113,1860.12,28318.47
1681116686.911725,1860.11,28318.47
1681116687.933409,1860.11,28318.47
1681116688.9597604,1860.12,28318.48
1681116689.983876,1860.11,28318.47
1681116691.0077708,1860.11,28318.47
1681116692.031766,1860.11,28318.47
1681116693.0557873,1860.11,28318.47
1681116694.0812638,1860.11,28318.48
1681116695.1041393,1860.11,28318.47
1681116696.128329,1860.11,28318.47
1681116697.1520336,1860.12,28318.47
1681116698.1760848,1860.12,28318.46
1681116699.1994407,1860.1,28318.46
1681116700.2252321,1860.1,28318.46
1681116701.2465365,1860.09,28318.46
1681116702.2698805,1860.09,28318.46
1681116703.29423,1860.09,28318.46
1681116704.3177538,1860.09,28318.47
1681116705.3472474,1860.1,28318.47
1681116706.3682914,1860.09,28318.47
1681116707.3923876,1860.09,28318.47
1681116708.413567,1860.1,28318.46
1681116709.442229,1860.09,28318.47
1681116748.967012,1859.14,28316.76
1681116749.9911993,1859.14,28316.77
1681116751.0162485,1859.13,28316.76
1681116752.0389347,1859.04,28316.54
1681116753.0627847,1859.02,28316.1
1681116754.0869405,1859.03,28316.09
1681116755.1107543,1859.03,28310.52
1681116756.13447,1858.81,28310.43
1681116757.158247,1858.82,28306.96
1681116758.1822996,1858.82,28306.96
1681116759.2062407,1858.82,28306.97
1681116760.2300363,1858.82,28306.97
